InstructorID,SubmissionID,Text,Grade,GivenAt
86,498,End base our spring than.,62.45,2024-04-26 13:02
59,795,Painting start remember right serious letter staff.,87.23,2024-02-03 13:13
22,792,Generation approach street pay.,68.84,2024-02-09 05:50
49,188,Food certain why hit candidate sister some.,61.17,2024-04-27 11:04
87,235,Response investment read election eight power election.,85.69,2024-03-07 06:34
14,104,Worry yet former military himself big today.,58.22,2024-03-04 03:12
17,759,The report country space smile white.,98.94,2024-03-30 03:39
100,25,Prove sister agreement agency seat recently property care.,71.9,2024-04-23 07:40
58,814,Increase church specific task marriage hand.,84.95,2024-01-17 21:15
3,726,Nothing yeah story very as.,76.26,2024-02-20 08:11
58,651,Everything level doctor story along wide.,77.17,2024-02-16 10:03
78,486,Item past card.,51.68,2024-03-23 11:35
79,571,School son practice general.,85.1,2024-03-05 02:57
8,67,Who personal work every heavy expert.,54.36,2024-04-15 16:11
57,487,Necessary film play agreement newspaper low minute.,70.07,2024-01-14 14:58
40,929,Affect see whether together above.,96.39,2024-02-08 21:44
17,124,Enjoy than personal player.,51.21,2024-04-22 02:30
9,585,Cold usually brother to prepare least size large.,59.34,2024-04-06 12:02
29,457,Audience police environmental truth billion.,82.99,2024-04-04 13:04
95,383,Chair level not.,77.87,2024-03-29 03:04
86,69,Rule now drug simply media however.,98.54,2024-04-10 18:09
22,597,Line material seven contain.,70.66,2024-04-21 14:24
96,41,Create open center stop provide quality fund.,61.61,2024-03-13 03:30
19,308,Season various moment law smile team would western.,56.66,2024-01-18 19:39
70,12,Tell give ground threat girl.,68.59,2024-03-28 09:59
88,808,North many form really.,50.61,2024-01-12 06:42
91,682,Instead green great.,63.29,2024-04-22 06:21
91,10,Several ever chance foreign mother factor on.,65.17,2024-04-13 17:50
17,328,Born husband tough ability.,96.04,2024-04-01 22:18
86,821,Compare one environmental growth.,60.68,2024-02-02 10:49
86,490,Feel care protect age management.,73.94,2024-03-26 17:00
12,177,Teach north allow and summer.,69.39,2024-02-06 01:51
